dateday,hour,season,month,weekday,workingday,holidays,cnt,duration_min,duration_hr
2023-03-23,8,1,3,3,1,0,816,10712.1,178.535
2023-03-23,9,1,3,3,1,0,503,7440.083333333333,124.00138888888888
2023-03-23,10,1,3,3,1,0,278,3933.9333333333334,65.56555555555556
2023-03-23,11,1,3,3,1,0,351,7090.883333333333,118.18138888888889
2023-03-23,12,1,3,3,1,0,451,8638.966666666667,143.98277777777778
2023-03-23,13,1,3,3,1,0,473,9073.816666666668,151.2302777777778
2023-03-23,14,1,3,3,1,0,517,11715.6,195.26000000000002
2023-03-23,15,1,3,3,1,0,695,13614.016666666666,226.90027777777777
2023-03-23,16,1,3,3,1,0,1014,20213.216666666667,336.88694444444445
2023-03-23,17,1,3,3,1,0,1584,34425.61666666667,573.7602777777778
2023-03-23,18,1,3,3,1,0,1485,32958.6,549.31
2023-03-23,19,1,3,3,1,0,1096,19553.35,325.88916666666665
2023-03-23,20,1,3,3,1,0,629,11654.183333333334,194.2363888888889
2023-03-23,21,1,3,3,1,0,535,7927.083333333333,132.11805555555554
2023-03-23,22,1,3,3,1,0,387,5815.216666666666,96.92027777777777
2023-03-23,23,1,3,3,1,0,216,4312.966666666666,71.88277777777778
2023-03-24,0,1,3,4,1,0,119,1602.6,26.709999999999997
2023-03-24,1,1,3,4,1,0,44,804.9833333333333,13.41638888888889
2023-03-24,2,1,3,4,1,0,24,636.3166666666667,10.60527777777778
2023-03-24,3,1,3,4,1,0,12,343.25,5.720833333333333
2023-03-24,4,1,3,4,1,0,18,216.05,3.6008333333333336
2023-03-24,5,1,3,4,1,0,60,591.0166666666667,9.850277777777778
2023-03-24,6,1,3,4,1,0,147,1752.8,29.21333333333333
2023-03-24,7,1,3,4,1,0,297,3511.616666666667,58.526944444444446
2023-03-24,8,1,3,4,1,0,369,4709.15,78.48583333333333
2023-03-24,9,1,3,4,1,0,129,1425.4333333333334,23.75722222222222
2023-03-24,10,1,3,4,1,0,142,1557.7833333333333,25.963055555555556
2023-03-24,11,1,3,4,1,0,185,2758.7666666666664,45.97944444444444
2023-03-24,12,1,3,4,1,0,249,3862.35,64.3725
2023-03-24,13,1,3,4,1,0,264,4236.066666666667,70.60111111111111
2023-03-24,14,1,3,4,1,0,305,3808.366666666667,63.47277777777778
2023-03-24,15,1,3,4,1,0,431,5841.983333333334,97.36638888888889
2023-03-24,16,1,3,4,1,0,496,6076.583333333333,101.27638888888889
2023-03-24,17,1,3,4,1,0,340,4158.133333333333,69.30222222222223
2023-03-24,18,1,3,4,1,0,294,4595.45,76.59083333333334
2023-03-24,19,1,3,4,1,0,156,1792.5166666666667,29.87527777777778
2023-03-24,20,1,3,4,1,0,97,1125.75,18.7625
2023-03-24,21,1,3,4,1,0,82,772.7333333333333,12.87888888888889
2023-03-24,22,1,3,4,1,0,53,542.7166666666667,9.045277777777779
2023-03-24,23,1,3,4,1,0,84,945.1666666666666,15.752777777777776
2023-03-25,0,1,3,5,0,0,102,1238.95,20.649166666666666
2023-03-25,1,1,3,5,0,0,88,1339.0666666666666,22.317777777777778
2023-03-25,2,1,3,5,0,0,63,1199.3166666666666,19.98861111111111
2023-03-25,3,1,3,5,0,0,18,219.56666666666666,3.6594444444444445
2023-03-25,4,1,3,5,0,0,10,178.6,2.9766666666666666
2023-03-25,5,1,3,5,0,0,14,172.31666666666666,2.8719444444444444
2023-03-25,6,1,3,5,0,0,58,736.0166666666667,12.266944444444444
2023-03-25,7,1,3,5,0,0,106,1266.4833333333333,21.108055555555556
2023-03-25,8,1,3,5,0,0,189,2700.0666666666666,45.00111111111111
2023-03-25,9,1,3,5,0,0,111,1309.3166666666666,21.821944444444444
2023-03-25,10,1,3,5,0,0,180,1906.35,31.772499999999997
2023-03-25,11,1,3,5,0,0,286,4983.366666666667,83.05611111111111
2023-03-25,12,1,3,5,0,0,255,3594.0333333333333,59.900555555555556
2023-03-25,13,1,3,5,0,0,380,7444.883333333333,124.08138888888888
2023-03-25,14,1,3,5,0,0,494,8978.85,149.6475
2023-03-25,15,1,3,5,0,0,454,9115.633333333333,151.9272222222222
2023-03-25,16,1,3,5,0,0,540,11258.25,187.6375
2023-03-25,17,1,3,5,0,0,589,11504.766666666666,191.7461111111111
2023-03-25,18,1,3,5,0,0,621,12809.366666666667,213.48944444444444
2023-03-25,19,1,3,5,0,0,518,8731.65,145.5275
2023-03-25,20,1,3,5,0,0,284,4444.583333333333,74.07638888888889
2023-03-25,21,1,3,5,0,0,267,5396.183333333333,89.93638888888889
2023-03-25,22,1,3,5,0,0,280,3784.4,63.07333333333334
2023-03-25,23,1,3,5,0,0,219,2464.883333333333,41.08138888888889
2023-03-26,0,1,3,6,0,0,159,3046.25,50.770833333333336
2023-03-26,1,1,3,6,0,0,135,2236.0,37.266666666666666
2023-03-26,2,1,3,6,0,0,107,2268.0833333333335,37.801388888888894
2023-03-26,3,1,3,6,0,0,31,958.7166666666667,15.978611111111112
2023-03-26,4,1,3,6,0,0,14,273.85,4.564166666666667
2023-03-26,5,1,3,6,0,0,19,590.8833333333333,9.848055555555556
2023-03-26,6,1,3,6,0,0,134,3320.5666666666666,55.342777777777776
2023-03-26,7,1,3,6,0,0,182,4862.666666666667,81.04444444444445
2023-03-26,8,1,3,6,0,0,388,10044.45,167.4075
2023-03-26,9,1,3,6,0,0,596,19419.766666666666,323.66277777777776
2023-03-26,10,1,3,6,0,0,884,24138.516666666666,402.30861111111113
2023-03-26,11,1,3,6,0,0,985,30458.0,507.6333333333333
2023-03-26,12,1,3,6,0,0,1202,38194.86666666667,636.5811111111111
2023-03-26,13,1,3,6,0,0,1346,43396.45,723.2741666666666
2023-03-26,14,1,3,6,0,0,1342,41246.3,687.4383333333334
2023-03-26,15,1,3,6,0,0,1383,46307.4,771.7900000000001
2023-03-26,16,1,3,6,0,0,1224,39424.25,657.0708333333333
2023-03-26,17,1,3,6,0,0,1172,32477.133333333335,541.2855555555556
2023-03-26,18,1,3,6,0,0,1124,28474.4,474.5733333333334
2023-03-26,19,1,3,6,0,0,844,19731.966666666667,328.86611111111114
2023-03-26,20,1,3,6,0,0,466,8883.366666666667,148.0561111111111
2023-03-26,21,1,3,6,0,0,267,8398.466666666667,139.97444444444446
2023-03-26,22,1,3,6,0,0,197,3205.4666666666667,53.42444444444445
2023-03-26,23,1,3,6,0,0,103,1348.55,22.475833333333334
2023-03-27,0,1,3,0,1,0,31,772.1666666666666,12.869444444444444
2023-03-27,1,1,3,0,1,0,12,147.21666666666667,2.453611111111111
2023-03-27,2,1,3,0,1,0,4,68.5,1.1416666666666666
2023-03-27,3,1,3,0,1,0,5,97.1,1.6183333333333332
2023-03-27,4,1,3,0,1,0,16,203.4,3.39
2023-03-27,5,1,3,0,1,0,48,459.5,7.658333333333333
2023-03-27,6,1,3,0,1,0,198,2795.9166666666665,46.59861111111111
2023-03-27,7,1,3,0,1,0,422,6361.916666666667,106.03194444444445
2023-03-27,8,1,3,0,1,0,705,9542.116666666667,159.0352777777778
2023-03-27,9,1,3,0,1,0,452,6504.333333333333,108.40555555555555
2023-03-27,10,1,3,0,1,0,315,7204.033333333333,120.06722222222221
2023-03-27,11,1,3,0,1,0,366,8795.45,146.59083333333334
2023-03-27,12,1,3,0,1,0,409,7467.0,124.45
2023-03-27,13,1,3,0,1,0,403,7615.666666666667,126.92777777777778
2023-03-27,14,1,3,0,1,0,314,6520.35,108.6725
2023-03-27,15,1,3,0,1,0,451,7542.183333333333,125.70305555555555
2023-03-27,16,1,3,0,1,0,653,11263.516666666666,187.72527777777776
2023-03-27,17,1,3,0,1,0,1032,17369.666666666668,289.49444444444447
2023-03-27,18,1,3,0,1,0,932,13891.916666666666,231.53194444444443
2023-03-27,19,1,3,0,1,0,674,9263.883333333333,154.39805555555554
2023-03-27,20,1,3,0,1,0,389,6009.283333333333,100.15472222222222
2023-03-27,21,1,3,0,1,0,308,7932.083333333333,132.20138888888889
2023-03-27,22,1,3,0,1,0,239,4386.883333333333,73.11472222222223
2023-03-27,23,1,3,0,1,0,103,965.4833333333333,16.09138888888889
2023-03-28,0,1,3,1,1,0,30,264.2166666666667,4.403611111111112
2023-03-28,1,1,3,1,1,0,13,102.56666666666666,1.7094444444444443
2023-03-28,2,1,3,1,1,0,8,68.53333333333333,1.1422222222222222
2023-03-28,3,1,3,1,1,0,4,51.266666666666666,0.8544444444444445
2023-03-28,4,1,3,1,1,0,16,144.31666666666666,2.4052777777777776
2023-03-28,5,1,3,1,1,0,66,647.55,10.792499999999999
2023-03-28,6,1,3,1,1,0,188,1951.1166666666666,32.518611111111106
2023-03-28,7,1,3,1,1,0,519,6403.15,106.71916666666667
2023-03-28,8,1,3,1,1,0,969,13485.533333333333,224.7588888888889
2023-03-28,9,1,3,1,1,0,559,10257.3,170.95499999999998
2023-03-28,10,1,3,1,1,0,302,5526.133333333333,92.10222222222222
2023-03-28,11,1,3,1,1,0,369,5593.383333333333,93.22305555555555
2023-03-28,12,1,3,1,1,0,416,7206.0,120.1
2023-03-28,13,1,3,1,1,0,412,7107.116666666667,118.45194444444445
2023-03-28,14,1,3,1,1,0,485,10672.516666666666,177.87527777777777
2023-03-28,15,1,3,1,1,0,583,9679.416666666666,161.3236111111111
2023-03-28,16,1,3,1,1,0,769,13245.166666666666,220.75277777777777
2023-03-28,17,1,3,1,1,0,1344,25101.666666666668,418.36111111111114
2023-03-28,18,1,3,1,1,0,1192,21230.65,353.8441666666667
2023-03-28,19,1,3,1,1,0,792,13606.883333333333,226.7813888888889
2023-03-28,20,1,3,1,1,0,466,8094.416666666667,134.90694444444446
2023-03-28,21,1,3,1,1,0,409,5255.766666666666,87.59611111111111
2023-03-28,22,1,3,1,1,0,187,2862.35,47.70583333333333
2023-03-28,23,1,3,1,1,0,97,2364.616666666667,39.41027777777778
2023-03-29,0,1,3,2,1,0,33,356.6333333333333,5.943888888888889
2023-03-29,1,1,3,2,1,0,18,291.23333333333335,4.853888888888889
2023-03-29,2,1,3,2,1,0,8,103.61666666666667,1.7269444444444446
2023-03-29,3,1,3,2,1,0,12,127.43333333333334,2.123888888888889
2023-03-29,4,1,3,2,1,0,11,101.93333333333334,1.698888888888889
2023-03-29,5,1,3,2,1,0,61,622.25,10.370833333333334
2023-03-29,6,1,3,2,1,0,199,2337.6,38.96
2023-03-29,7,1,3,2,1,0,558,6748.4,112.47333333333333
2023-03-29,8,1,3,2,1,0,994,13810.416666666666,230.17361111111111
2023-03-29,9,1,3,2,1,0,514,7506.166666666667,125.10277777777779
2023-03-29,10,1,3,2,1,0,354,5769.716666666667,96.16194444444446
2023-03-29,11,1,3,2,1,0,389,7496.45,124.94083333333333
2023-03-29,12,1,3,2,1,0,467,9859.933333333334,164.33222222222224
2023-03-29,13,1,3,2,1,0,450,8204.166666666666,136.73611111111111
2023-03-29,14,1,3,2,1,0,466,8855.133333333333,147.58555555555554
2023-03-29,15,1,3,2,1,0,571,9542.933333333332,159.04888888888888
2023-03-29,16,1,3,2,1,0,767,13312.116666666667,221.8686111111111
2023-03-29,17,1,3,2,1,0,1279,20510.416666666668,341.84027777777777
2023-03-29,18,1,3,2,1,0,1203,20290.2,338.17
2023-03-29,19,1,3,2,1,0,843,14588.966666666667,243.14944444444444
2023-03-29,20,1,3,2,1,0,542,7178.75,119.64583333333333
2023-03-29,21,1,3,2,1,0,386,6006.416666666667,100.10694444444445
2023-03-29,22,1,3,2,1,0,269,3815.5666666666666,63.592777777777776
2023-03-29,23,1,3,2,1,0,108,1173.8833333333334,19.564722222222223
2023-03-30,0,1,3,3,1,0,51,496.43333333333334,8.273888888888889
2023-03-30,1,1,3,3,1,0,13,964.0333333333333,16.06722222222222
2023-03-30,2,1,3,3,1,0,6,95.35,1.5891666666666666
2023-03-30,3,1,3,3,1,0,5,123.28333333333333,2.0547222222222223
2023-03-30,4,1,3,3,1,0,8,81.4,1.3566666666666667
2023-03-30,5,1,3,3,1,0,61,553.5833333333334,9.22638888888889
